subj AGE SEX RACE EDUC WRKSTAT MARITAL EARNRS INCOME RINCOME PARTYID GUNLAW PRES16 SMALLGAP TRCOURTS
211   75   1    1   14       5       3      0     10      NA       0      1      1        3        0
212   46   1    1   14       1       1      3     NA      12       6     NA      2        4        7
213   77   2    1   10       5       3      0     11      NA       2      1     NA       NA       NA
214   18   2    2   11       6       5      1      9      NA       0     NA     NA       NA       NA
215   62   2    1   12       5       1      0     12      NA       6      1      2        4        3
216   30   2    1   15       2       1      2     12      10       1      1      1       NA       NA
217   70   2    3    7       5       2      1     11      NA       0      1      1       NA        6
218   50   1    1    3       1       1      3      3       5       3     NA     NA       NA       NA
219   44   2    3   12       7       4      1      9      NA       2      1     NA       NA       NA
220   33   2    1   12       1       1      2     12      12       3      2     NA        3        4
221   34   2    1   19       1       1      2     12      12       6      2      2        3        5
222   46   2    1   16       2       1      2     NA      NA       0      1      1        2        5
223   51   1    1   12       2       1      3     12      NA       1      1     NA       NA       NA
224   28   1    2   14       1       5      2     12      12       0      2      4        2        1
225   74   1    3   16       2       3      1     12       8       2      2      1       NA       NA
226   29   2    1   15       2       5      2     12       9       3     NA      3       NA       NA
227   49   1    3   11       4       1      3     12      10       2      1     NA       NA       NA
228   28   2    1   17       1       5      1     12      12       2      1     NA        2        4
229   48   2    1   12       7       4      3     12      NA       4     NA     NA        2        3
230   24   2    1   12       2       5      2     12      NA       2     NA     NA       NA       NA
231   51   2    3   15       1       3      1     12       8       4      1     NA        4        9
232   42   2    1   16       1       3      1     12      12       6     NA     NA       NA       NA
233   44   1    2   17       1       1      2     NA      NA       3      1      1        1        8
234   33   2    1   12       7       1      1     12      NA       4      1     NA       NA       NA
235   29   1    1   12       1       1      3     12      12       5      2     NA        3        8
236   48   2    1   17       1       1      2     NA      12       2     NA      1       NA       NA
237   62   2    1   10       1       2      1     12      12       6      1      2       NA       NA
238   88   2    1   12       7       2      0     NA      NA       6      1      2        4        5
239   65   1    1   18       3       1      3     12      12       4     NA      2        3        7
240   28   2    1   13       7       1      3     12      NA       3      2      1       NA       NA
241   58   2    1   14       1       1      2     12      12       5      1      1        4        7
242   26   1    1   13       1       5      1     12      12       3      1     NA        4        5
243   61   2    1   13       1       1      1     12      12       6     NA      2        3        6
244   30   2    1   13       1       1      2     12      12       3      1     NA       NA       NA
245   22   2    1   14       2       5      1      6      NA       0     NA      1       NA       NA
246   24   2    3   12       1       5      3     NA      NA       0      1     NA       NA       NA
247   29   1    3   12       1       5      3     12      12       3      1      1        2        0
248   70   1    1   13       5       2      0     12      NA       4      2      2        2        4
249   34   1    1   16       1       5      1     NA      NA       4      1     NA        4        7
250   66   1    1   12       5       1      0     NA      NA       4      1     NA       NA       NA
251   84   2    1   12       5       3      0      9      NA       4      1     NA        4        5
